Location	N	NNE	NE	ENE	E	ESE	SE	SSE	S	SSW	SW	WSW	W	WNW	NW	NNW	R_sm	R_la
Albury	12.41	10.92	10.27	7.34	6.46	7.3	9.55	8.74	6.82	6.39	6.84	12.95	15.42	16.9	14.19	12.3	9	17
BadgerysCreek	7.57	7.66	5.65	5.92	6.47	5.69	7.09	7.3	9.58	11.24	11.56	10.41	9.24	10.96	7.83	6.58	6	12
Cobar	15.61	18.03	17.59	17.48	14.96	13.53	11.25	11.84	11.91	13.61	14.94	14.55	13.39	11.77	12.62	14.24	9	18
CoffsHarbour	16.93	15.52	16.16	16.53	14.08	15.87	11.71	12.8	16.13	18.49	19.02	14.27	8.57	8.69	12.42	14.59	10	19
Moree	20.65	23.94	19.49	15.56	17.36	16.07	14.64	12.02	13.91	16.84	18.41	16.64	16.46	16.48	13.55	14.18	12	24
Newcastle	7.9	0	7.05	0	14	20.67	12.32	4.67	9.2	20	10.09	4	7.59	7.5	11.37	5.17	11	21
NorahHead	13.05	17.24	14.34	14.87	21.09	18.56	22.12	25.39	23.7	15.66	12.46	10.3	9.63	9.64	9.93	11.3	13	25
NorfolkIsland	16.62	19.25	18.76	22.99	24.05	20.3	19.13	18.52	19.05	19.58	21.93	20.98	21.71	19.9	17.67	14.97	12	24
Penrith	6.49	5.76	4.87	4.28	3.79	4.44	5.27	5.8	8.08	10.7	10.29	9.52	12.2	9.71	7.96	6.1	6	12
Richmond	9.7	7.79	7.18	6.08	5.73	6.48	7.56	9.09	9.99	12.76	11.01	9.87	15.48	13.22	10.46	9.34	8	15
Sydney	12.6	12.37	12.65	12.39	11.83	13.05	15.08	19.02	16.58	16.66	15.89	17.17	16.33	13.67	15.08	14.82	10	19
SydneyAirport	16.74	18.21	18.03	20.75	18.18	19.94	23.3	22.48	25.05	25.45	18.33	19.06	19.57	15.56	14.84	15.54	13	25
WaggaWagga	12.05	9.83	11.86	15.16	12.96	10.71	11.84	13.26	11.78	12.21	18.69	17.69	16.14	12.19	11.25	10.26	10	19
Williamtown	10.45	13.07	12.99	13.3	14.97	19.36	20.11	22.28	20.21	19.33	16.84	14.21	16.2	21.48	14.45	11.18	11	22
Wollongong	15.13	15.25	15.44	13.51	13.22	14.96	14.41	16.16	21.69	21.62	17.73	15.72	16.23	16.9	16.11	16.3	11	22
Canberra	9.93	6.88	7.41	8.73	8.49	9.16	8.91	10.69	13.32	7.6	5.93	6.02	9.1	16.83	18.16	15.16	9	18
Tuggeranong	9.55	7.58	7.4	7.32	7.33	8.07	8.93	14.48	13.96	8.17	5.62	6.65	7.25	10.56	11.47	10	7	14
MountGinini	11.34	10.94	11.22	15.77	16.75	10.2	10.72	16.34	16.05	14.64	16.7	17.08	19.16	16.75	19.24	16.03	10	19
Ballarat	23.65	23.84	15.03	8.17	9.55	18.96	22.63	20.93	19.91	17.07	15.77	17.48	21.58	18.83	16.3	17.54	12	24
Bendigo	13.24	14.29	14.28	12.4	9.39	9.23	13.13	15.47	16.71	15.97	15.96	14.28	14.88	14.81	14.69	13.34	9	17
Sale	9.59	8.7	10.61	13.79	16.49	14.6	11.33	11.54	10.89	11.35	11.64	18.11	21.08	13.78	11.75	9.95	11	21
MelbourneAirport	28.11	16.93	9.82	10.07	8.32	11.92	17.83	19.33	15.83	14.6	17.43	18	17.67	15.87	14.43	17.05	14	28
Melbourne	27.16	13.46	8.73	9.43	7.68	11.07	16.8	18.3	15.05	14.56	16.95	17.66	17.14	14.81	13.43	16.99	14	27
Mildura	16.69	16.13	14.06	11.77	12.43	12.58	14.51	14.98	13.41	14.17	15.11	15.34	14.96	14.3	13.75	13.48	9	17
Nhil	13.22	12.98	15.13	17.01	18.29	18.24	14.79	15.71	16.06	19.55	21.71	20.53	20.56	16.11	15.74	17.3	11	22
Portland	14.94	13.17	10.37	12.57	14.86	15.28	15.49	13.81	14.93	14.68	17.22	21.02	24.85	21.44	20.2	17.68	13	25
Watsonia	16.52	11.33	7.56	6.95	6.65	6.63	9.2	9.21	10.8	10.57	10.35	12.48	12.5	12.09	10.2	14.03	9	17
Dartmoor	14.01	14.19	8.72	7.34	10.56	14.34	16.42	13.11	12.91	13.26	15.08	14.35	13.65	12.03	13.47	13.3	8	16
Brisbane	6.42	6.18	6.12	8.98	9.27	9.08	10.03	7.95	5.92	5.58	5.74	6.85	9.33	7.03	5.99	7.08	5	10
Cairns	12	9.29	8.11	8.67	9	13.55	16.35	18.51	16.21	10.92	6.1	7.78	8.66	10.37	9.38	9.27	10	19
GoldCoast	18.25	15.97	16.62	17.05	18.17	22.3	22.62	23.76	24.87	12.08	8.53	9.72	14.29	13.2	16.57	17.68	13	25
Townsville	14.98	14.97	15.08	17.89	18.2	20.32	15.47	14.82	11.6	16.92	14.58	9.59	8.33	8.25	10.09	13.58	10	20
Adelaide	11.47	10.13	10.09	9.59	9.54	8.79	10.15	10.93	10.22	10.85	12.82	13.08	13.64	12.35	10.81	9.72	7	14
MountGambier	19.58	18.22	14.5	12.4	15.82	16.81	18.67	18.72	19.07	19.29	18.62	19.82	19.87	17.44	15.86	16.5	10	20
Nuriootpa	12.75	10.39	11.22	13	14.05	15.4	15.8	15.49	14.09	12.58	15.23	17.32	19.9	22.56	19.3	15.41	12	23
Woomera	21.14	22.63	19.64	15.43	16.18	17.18	20.65	22.57	22.9	22.87	20.57	20.25	18.95	17.62	16.77	19.04	12	23
Albany	8.46	8.11	9.74	12.04	17.33	16.34	15.6	15.78	15.62	14.87	19.6	20.2	8.8	8.1	10.11	9.81	10	20
Witchcliffe	13.64	13.25	11.77	10.94	13.18	13.2	16	17.88	15.59	15.84	16.55	17.1	16.89	17.96	17.99	15.9	9	18
PearceRAAF	14.91	14.57	14.3	19.61	21.42	18.6	16.78	13.86	13.72	12.77	14.27	16.18	16.16	12.54	12.87	13.25	11	21
PerthAirport	13.39	13.76	16.42	21.39	23.78	17.56	15.63	16.31	16.55	17.2	17.4	18.06	16.82	18.06	16.02	12.58	12	24
Perth	9.65	9.69	11.66	10.75	11.24	10.57	10.13	10.63	11.45	11.52	13.12	13.32	13.37	11.63	13.65	9.64	7	14
SalmonGums	18.18	18.45	16.21	16.59	16.59	15.06	14.99	14.66	16.02	17.7	16.46	16.13	16.6	15.46	14.8	16.4	9	18
Walpole	12.11	13.46	13.27	13.56	14.71	16.31	18.41	13.02	13.82	15.85	15.09	15.8	14.7	14.4	18.1	16.16	9	18
Hobart	15.19	10.71	9.01	7.9	10.16	10.23	10.87	12.71	16.61	17.52	17.81	15.87	16.56	19.04	19.47	18.09	10	19
Launceston	8.16	4.54	3.6	4.64	4.94	5.68	11.67	14.54	8.27	7.43	5.2	7.36	7.39	9.07	10.92	13.72	8	15
AliceSprings	17.17	14.57	14.49	14.89	16.78	17.56	19.16	16.85	15.12	13.66	9.92	10.07	10.03	8.55	14.89	17.73	10	19
Darwin	12.01	11.33	12.27	13.84	16.85	17.07	18.32	11.72	11.71	11.28	11.8	13.93	16.8	18.85	14.75	12.49	10	19
Katherine	10.63	10.02	9.61	11.76	13.85	14.94	14.38	9.78	7.26	7.15	6.94	8.42	10.42	12.2	12.31	11.69	8	15
Uluru	13.92	14.77	16.69	21.01	20.92	18.14	15.24	15.01	15.06	17.44	13.57	17.2	15.13	16	17.85	16.68	11	21
Angle	0	22.5	45	67.5	90	112.5	135	157.5	180	202.5	225	247.5	270	292.5	315	337.5		
